date,data_loading,optimization
2026-03-01,2.283512830734253,2.774224281311035
2026-03-02,2.273481845855713,2.738255023956299
2026-03-03,2.363548517227173,2.830406665802002
2026-03-04,2.097874402999878,3.070779323577881
2026-03-05,3.147045612335205,2.88248348236084
2026-03-06,4.348337888717651,2.1778252124786377
2026-03-07,6.936198711395264,2.25290584564209
2026-03-08,4.13368034362793,2.1002962589263916
2026-03-09,7.6090123653411865,2.9150519371032715
2026-03-10,12.710617542266846,2.180631637573242
2026-03-11,4.878629207611084,2.0381765365600586
2026-03-12,4.916563510894775,2.0290462970733643
2026-03-13,4.133460760116577,2.1598010063171387
2026-03-14,3.428248167037964,2.0360465049743652
2026-03-15,4.171388387680054,2.0877091884613037
2026-03-16,11.497195482254028,2.0844223499298096
2026-03-17,8.341238021850586,1.9628117084503174
2026-03-18,15.618469715118408,2.0072925090789795
2026-03-19,6.5586042404174805,1.9806499481201172
2026-03-20,3.996086597442627,1.933419942855835
2026-03-21,4.384432315826416,2.145792007446289
2026-03-22,8.646626710891724,2.1487576961517334
2026-03-23,24.241962671279907,2.051868438720703
