timestamp,rev_FCR_D,rev_DA,rev_IM,PnL
2026-03-01 00:00:00,0.0,85.27721832375606,-80.60443826598437,4.672780057771689
2026-03-01 00:15:00,0.0,67.36022431928069,-6.301263128204278,61.05896119107641
2026-03-01 00:30:00,0.0,33.14138937723557,61.418684286906625,94.5600736641422
2026-03-01 00:45:00,0.0,-42.658890254815745,130.12084245891327,87.46195220409753
2026-03-01 01:00:00,0.0,70.2925711405239,-34.496750312889915,35.79582082763399
2026-03-01 01:15:00,0.0,56.457370938696386,13.161503235637303,69.61887417433368
2026-03-01 01:30:00,0.0,94.68762841106431,93.93717905882241,188.62480746988672
2026-03-01 01:45:00,0.0,101.91126028312355,17.068653708792237,118.9799139919158
2026-03-01 02:00:00,0.0,104.65761326582445,32.21062970041667,136.86824296624113
2026-03-01 02:15:00,0.0,76.22334744181948,107.18932351101368,183.41267095283317
2026-03-01 02:30:00,0.0,80.03393744183875,175.24099511885592,255.27493256069465
2026-03-01 02:45:00,0.0,62.637101355325186,38.80538395248887,101.44248530781405
2026-03-01 03:00:00,0.0,50.05630550255839,71.04035005991132,121.0966555624697
2026-03-01 03:15:00,0.0,60.697395787937474,52.0621954167003,112.75959120463777
2026-03-01 03:30:00,0.0,20.570762646757256,81.79696788003186,102.36773052678912
2026-03-01 03:45:00,0.0,-8.17305713401224,84.33964846193736,76.16659132792512
2026-03-01 04:00:00,0.0,70.13609901598355,92.06617592794274,162.20227494392628
2026-03-01 04:15:00,0.0,35.766427529687384,37.27565359155248,73.04208112123986
2026-03-01 04:30:00,0.0,-17.86707086330586,98.29520600260486,80.428135139299
2026-03-01 04:45:00,0.0,35.18501666021962,95.23794374010599,130.42296040032562
2026-03-01 05:00:00,0.0,60.45572365189058,82.28601557080691,142.7417392226975
2026-03-01 05:15:00,0.0,52.9381900248893,146.73653931740313,199.67472934229244
2026-03-01 05:30:00,0.0,56.65584221300685,101.36351645004198,158.01935866304882
2026-03-01 05:45:00,0.0,71.53983175598101,52.09728542188716,123.63711717786816
2026-03-01 06:00:00,0.0,62.34329067948333,65.70457947896112,128.04787015844445
2026-03-01 06:15:00,0.0,55.123960562270035,69.46596382625394,124.58992438852397
2026-03-01 06:30:00,0.0,41.284849621517246,68.55333814019068,109.83818776170793
2026-03-01 06:45:00,0.0,55.04710053266227,91.61578739373064,146.6628879263929
2026-03-01 07:00:00,0.0,-25.761751644300972,62.349328571084996,36.587576926784024
