date,data_loading,optimization
2026-03-01,2.590289354324341,0.27250003814697266
2026-03-02,2.2757139205932617,0.2591061592102051
2026-03-03,2.3648741245269775,0.26664090156555176
2026-03-04,2.191767930984497,0.26522397994995117
2026-03-05,2.6156227588653564,0.27889561653137207
2026-03-06,4.444958925247192,0.20868825912475586
2026-03-07,4.6339075565338135,0.21460485458374023
2026-03-08,3.734218120574951,0.21228837966918945
2026-03-09,5.689419269561768,0.36777400970458984
2026-03-10,9.317603349685669,0.21977734565734863
2026-03-11,4.39655613899231,0.19837164878845215
2026-03-12,4.788342475891113,0.220717191696167
2026-03-13,4.439999103546143,0.2086803913116455
2026-03-14,5.177595853805542,0.20969271659851074
